1;BECS;A - (B.ESTADO) CROSS SONAP RF;1 - B.ESTADO CROSS SONAP;15 - CALIDAD
2;BECS;A - (B.ESTADO) CROSS SONAP RF;1 - B.ESTADO CROSS SONAP;2 - CROSS SONAP
3;BECS;A - (B.ESTADO) HOSPITALIZACION NORMAL;100 - C2C HOSPITALIZACION;116 - C2C_HOSP
4;CARDIF;A - (CARDIF) - SEGURO AUTOS;103 - AUTOLAND (SEGURO AUTOS);80 - AUTOLAND (SEGURO AUTOS)
5;BECS;A - (B.ESTADO) SONAP;11 - B.ESTADO SONAP SJ;9 - B_ESTADO_SONAP
6;CARDIF;A - (CARDIF) COOPEUCH SEGURO AUTOS;110 - AUTOLAND COOPEUCH (SEGURO AUTOS);75 - COOPEUCH SEGURO AUTOMOVIL
7;BECS;A - (B.ESTADO) CROSS RENO HOSPITALIZACION;113 - CROSS RENO HOSPITALIZACION;85 - CROSS RENO HOSPITALIZACION
8;BECS;A - (B.ESTADO) RENOVACION EGRA;116 - RENOVACION_EGRA;95 - RENOVACION EGRA
9;CARDIF;A - (CARDIF) RENTA DIARIA;117 - CARDIF RENTA DIARIA ASISTIDO;100 - CARDIF RENTA DIARIA ASISTIDO
10;BECS;A - (B.ESTADO) SONAP REGALO;124 - SONAP REGALO;91 - SONAP REGALO
11;BECS;A - (B.ESTADO) AHORRO RENOVACION EJERCITO;126 - RENO AHORRO EJERCITO;89 - RENO AHORRO EJERCITO
12;BECS;A - (B.ESTADO) AHORRO REGALO;127 - AHORRO NORMAL REGALO;90 - AHORRO REGALO
13;BECS;A - (B.ESTADO) AHORRO ESPECIAL;130 - AHORRO ESPECIAL;92 - AHORRO ESPECIAL
14;BECS;A - (B.ESTADO) RENOVACION REGALO SONAP;131 - RENOVACION REGALO SONAP;94 - RENO_SONAP_REGALO
15;BECS;A - (B.ESTADO) RENOVACION REGALO AP AHORRO ;132 - RENOVACION REGALO AHORRO;97 - RENOVACION REGALO AHORRO
16;CARDIF;A - (CARDIF) ONCOLOGICO;135 - CARDIF ONCOLOGICO ASISTIDO;99 - CARDIF ONCOLOGICO ASISTIDO
17;CARDIF;C - (CENCOSUD);136 - (CENCOSUD) VIVIR MAS CROSS;102 - CENCOSUD_CROSS
